id,work_start,work_end
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,10:00 AM,8:00 PM
18,10:00 AM,7:00 PM
19,11:00 AM,4:00 PM
20,10:00 AM,9:30 PM
21,,
22,10:00 AM,7:15 PM
23,10:00 AM,7:00 PM
24,10:00 AM,7:00 PM
25,10:00 AM,7:00 PM
26,10:00 AM,7:00 PM
27,10:00 AM,7:00 PM
28,10:00 AM,7:00 PM
29,10:00 AM,7:00 PM
30,10:00 AM,7:00 PM
31,10:00 AM,7:00 PM
32,10:00 AM,7:00 PM
33,10:00 AM,7:00 PM
34,10:00 AM,7:00 PM
35,10:00 AM,7:00 PM
36,10:00 AM,7:00 PM
37,10:00 AM,7:00 PM
38,10:00 AM,8:00 PM
39,10:00 AM,7:00 PM
40,11:00 AM,8:00 PM
