Row Labels,Source Pincode,Bluedart ANKW,Bluedart Express ANKW,Delhivery Express ANKW,Delhivery Surface ANKW,XpressBees Express ANKW,XpressBees SurfaceANKW,Shiprocket Courier,Delhivery NDD,Shiprocket NDD,Shadowfax Surface,Shadowfax Express
Ahmedabad,382210,17:15:00,17:15:00,17:30:00,17:30:00,,,17:15:00,,,,
Bengaluru,560074,17:30,17:30,18:30,18:30,16:30,16:30,17:15,13:00,,,
Bhubaneswar,751010,17:30:00,17:30:00,17:30:00,17:30:00,17:45:00,17:45:00,17:15:00,13:00:00,11:00:00,,
Chandigarh,160002,17:00:00,17:00:00,16:00:00,16:00:00,17:00:00,17:00:00,17:15:00,13:00:00,,,
Chennai,600089,16:00:00,16:00:00,16:00:00,16:00:00,15:00:00,15:00:00,17:15:00,,,,
Delhi,110020,16:00:00,16:00:00,20:00:00,20:00:00,19:15:00,19:15:00,17:15:00,,17:00:00,16:30:00,16:30:00
Guwahati,781035,18:30:00,18:30:00,18:30:00,18:30:00,18:30:00,18:30:00,17:15:00,,,,
Howrah,711302,18:00:00,18:00:00,20:00:00,20:00:00,16:30:00,16:30:00,17:15:00,13:30:00,,,
Hyderabad,500037,13:30:00,13:30:00,17:30:00,17:30:00,17:00:00,17:00:00,17:15:00,13:00:00,,,
Indore,452010,16:00:00,16:00:00,17:00:00,17:00:00,15:30:00,15:30:00,17:15:00,,,,
Jaipur,302006,15:00:00,15:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:15:00,,,,
Lucknow,226020,18:15:00,18:15:00,18:30:00,18:30:00,17:00:00,17:00:00,,,,,
Mumbai,400079,17:00:00,17:00:00,20:00:00,20:00:00,16:30:00,16:30:00,17:15:00,,,16:30:00,
Nagpur,440023,16:00:00,16:00:00,19:00:00,19:00:00,17:00:00,17:00:00,17:15:00,,,,
Patna,800026,16:00,16:00,18:30,18:30,18:00,18:00,17:15,,,,
Pune District,412207,17:00:00,17:00:00,16:45:00,16:45:00,16:30:00,16:30:00,17:15:00,,,,
Raipur District,493111,16:30:00,16:30:00,18:00:00,18:00:00,17:00:00,17:00:00,17:15:00,,,,
Ranchi,834010,17:00:00,17:00:00,17:30:00,17:30:00,17:00:00,17:00:00,17:15:00,,,,
Varanasi,221010,16:00:00,16:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:15:00,,,,
