id,actual_delivery_date,actual_dispatch_date,created_on,current_delivery_date,modified_on,order_id,promised_delivery_date,promised_dispatch_date,promised_air_delivery_date,actual_doctor_call_time,promised_doctor_call_time,actual_warehouse_processing,promised_warehouse_processing,metadata
8,"Jul 31, 2020, 5:41 PM","Jul 30, 2020, 6:59 PM","Jul 28, 2020, 10:35 PM","Aug 1, 2020, 6:59 PM","Jul 31, 2020, 5:41 PM","58,144","Jul 31, 2020, 10:35 PM","Jul 31, 2020, 10:35 PM",,,,,,
10,,"Jul 31, 2020, 4:26 PM","Jul 28, 2020, 10:42 PM","Aug 2, 2020, 4:26 PM","Jul 31, 2020, 4:26 PM","58,150","Jul 31, 2020, 10:42 PM","Jul 31, 2020, 10:42 PM",,,,,,
14,"Jul 31, 2020, 3:51 PM","Jul 30, 2020, 7:26 PM","Jul 28, 2020, 11:01 PM","Aug 2, 2020, 7:26 PM","Jul 31, 2020, 3:51 PM","58,145","Aug 1, 2020, 11:01 PM","Jul 31, 2020, 11:01 PM",,,,,,
29,,"Jul 30, 2020, 7:26 PM","Jul 29, 2020, 12:10 AM","Aug 3, 2020, 7:26 PM","Jul 30, 2020, 7:26 PM","58,198","Aug 3, 2020, 12:10 AM","Jul 31, 2020, 12:10 AM",,,,,,
34,,,"Jul 29, 2020, 3:58 AM","Jul 30, 2020, 3:58 AM","Jul 29, 2020, 3:58 AM","58,210","Jul 30, 2020, 3:58 AM","Jul 31, 2020, 3:58 AM",,,,,,
39,,"Jul 31, 2020, 5:20 PM","Jul 29, 2020, 7:13 AM","Aug 4, 2020, 5:20 PM","Jul 31, 2020, 5:20 PM","58,218","Aug 3, 2020, 7:13 AM","Jul 31, 2020, 7:13 AM",,,,,,
44,,,"Jul 29, 2020, 8:16 AM","Aug 5, 2020, 8:16 AM","Jul 29, 2020, 8:16 AM","58,229","Aug 5, 2020, 8:16 AM","Jul 31, 2020, 8:16 AM",,,,,,
47,"Jul 31, 2020, 5:11 PM","Jul 30, 2020, 4:27 PM","Jul 29, 2020, 8:33 AM","Aug 2, 2020, 4:27 PM","Jul 31, 2020, 5:11 PM","58,232","Aug 1, 2020, 8:33 AM","Jul 31, 2020, 8:33 AM",,,,,,
48,,,"Jul 29, 2020, 8:36 AM","Aug 3, 2020, 8:36 AM","Jul 29, 2020, 8:36 AM","58,233","Aug 3, 2020, 8:36 AM","Jul 31, 2020, 8:36 AM",,,,,,
50,,"Jul 30, 2020, 6:53 PM","Jul 29, 2020, 8:39 AM","Aug 1, 2020, 6:53 PM","Jul 30, 2020, 6:53 PM","58,235","Jul 31, 2020, 8:39 AM","Jul 31, 2020, 8:39 AM",,,,,,
