pk,sk,lane_key,order_id,client_id,tat_ratio,created_at,request_id,updated_at,payment_mode,selected_tat,allocation_type,decision_reason,selected_source,allocation_metadata,selected_partner_id,_airbyte_raw_id,_airbyte_extracted_at,_airbyte_generation_id,_airbyte_meta
ORD#46776353,REQ#d0db6364b9fdef6e,19#244231#195,46776353,customer_service,2,2026-04-20T15:31:30.163971577+05:30,d0db6364b9fdef6e,2026-04-20T15:31:30.163971577+05:30,PREPAID,"2,880",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""244231"",""pba_partner_id"":""246"",""internal_tat"":""2880"",""projected_dispatch_time"":""1776781800000"",""internal_partner_id"":""195"",""pba_tat"":""5760"",""warehouse_id"":""19""}",195,c158a24a-b4a2-40a9-a88c-f9990f26d603,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#46776353,REQ#df531f5c1a9036b6,19#244231#246,46776353,third_party_service,0,2026-04-20T15:36:22.604010308+05:30,df531f5c1a9036b6,2026-04-20T15:36:22.604010308+05:30,ONLINE,"5,760",HARD,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""244231"",""pba_partner_id"":""246"",""internal_tat"":""5760"",""projected_dispatch_time"":null,""internal_partner_id"":""246"",""pba_tat"":""4320"",""warehouse_id"":""19""}",246,4fd88748-e08c-41e4-9222-a7da3e120f11,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#46776353,REQ#e9d26a0207c487e7,19#244231#195,46776353,customer_service,1,2026-04-21T17:59:09.03861554+05:30,e9d26a0207c487e7,2026-04-21T17:59:09.03861554+05:30,PREPAID,"2,880",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""244231"",""pba_partner_id"":""246"",""internal_tat"":""2880"",""projected_dispatch_time"":""1776781800000"",""internal_partner_id"":""195"",""pba_tat"":""4320"",""warehouse_id"":""19""}",195,e45ba93d-b42a-464d-b0ae-901e09b54ab1,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#46776353,REQ#f7cbe46e9f6994c8,19#244231#195,46776353,customer_service,1,2026-04-21T18:05:02.99728923+05:30,f7cbe46e9f6994c8,2026-04-21T18:05:02.99728923+05:30,PREPAID,"2,880",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""244231"",""pba_partner_id"":""246"",""internal_tat"":""2880"",""projected_dispatch_time"":""1776781800000"",""internal_partner_id"":""195"",""pba_tat"":""4320"",""warehouse_id"":""19""}",195,6bcb3a09-d3a6-4a98-a680-9128a7d9e91a,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#43551627,REQ#1bb8bbbd3acc493c,22#760005#286,43551627,customer_service,1,2026-04-21T12:14:40.424401391+05:30,1bb8bbbd3acc493c,2026-04-21T12:14:40.424401391+05:30,COD,"4,320",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""760005"",""pba_partner_id"":""185"",""internal_tat"":""4320"",""projected_dispatch_time"":""1776768480252"",""internal_partner_id"":""286"",""pba_tat"":""7200"",""warehouse_id"":""22""}",286,584364e3-8944-45fe-b610-b9758f1c4c6f,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#43551627,REQ#29ded94d92423c3b,22#760005#225,43551627,customer_service,0,2026-04-28T21:54:04.231688587+05:30,29ded94d92423c3b,2026-04-28T21:54:04.231688587+05:30,COD,"5,760",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""760005"",""pba_partner_id"":""0"",""internal_tat"":""5760"",""projected_dispatch_time"":""1777473000000"",""internal_partner_id"":""225"",""pba_tat"":""0"",""warehouse_id"":""22""}",225,27dbcbf0-0f36-480c-8acc-3259f7c75f77,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#43551627,REQ#8f7c6c9cf7a3d2d2,22#760005#286,43551627,customer_service,1,2026-04-21T12:19:34.988510593+05:30,8f7c6c9cf7a3d2d2,2026-04-21T12:19:34.988510593+05:30,COD,"4,320",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""760005"",""pba_partner_id"":""185"",""internal_tat"":""4320"",""projected_dispatch_time"":""1776768480786"",""internal_partner_id"":""286"",""pba_tat"":""7200"",""warehouse_id"":""22""}",286,b8d74000-4ae1-4db5-944c-d58394907626,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#43551627,REQ#9c373420e48b204b,22#760005#286,43551627,customer_service,1,2026-04-21T12:20:06.493298343+05:30,9c373420e48b204b,2026-04-21T12:20:06.493298343+05:30,COD,"4,320",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""760005"",""pba_partner_id"":""185"",""internal_tat"":""4320"",""projected_dispatch_time"":""1776768480342"",""internal_partner_id"":""286"",""pba_tat"":""7200"",""warehouse_id"":""22""}",286,9b92a13c-f4f6-4719-adee-5a988074398b,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#43551627,REQ#aa5c28a67df95380,22#760005#286,43551627,customer_service,1,2026-04-21T12:19:59.034105797+05:30,aa5c28a67df95380,2026-04-21T12:19:59.034105797+05:30,COD,"4,320",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""760005"",""pba_partner_id"":""185"",""internal_tat"":""4320"",""projected_dispatch_time"":""1776768480870"",""internal_partner_id"":""286"",""pba_tat"":""7200"",""warehouse_id"":""22""}",286,e90a46ba-5c3e-4867-bb0c-a91674f94abd,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
ORD#43551627,REQ#f39f2355e1890b59,22#760005#225,43551627,customer_service,0,2026-04-28T21:54:34.097382112+05:30,f39f2355e1890b59,2026-04-28T21:54:34.097382112+05:30,COD,"5,760",SOFT,OUTSIDE_ROLLOUT,INTERNAL,"{""pincode"":""760005"",""pba_partner_id"":""0"",""internal_tat"":""5760"",""projected_dispatch_time"":""1777473000000"",""internal_partner_id"":""225"",""pba_tat"":""0"",""warehouse_id"":""22""}",225,d7019a99-e694-423a-9181-d4c1ecfdecd0,"May 19, 2026, 11:57 AM",3,"{""changes"":[],""sync_id"":142359}"
