pk,sk,code,name,type,version,metadata,is_active,created_at,created_by,is_express,updated_at,updated_by,account_code,reverse_enabled,unique_identifier,delivery_partner_id,_airbyte_raw_id,_airbyte_extracted_at,_airbyte_generation_id,_airbyte_meta
DP#238,COURIER#SURFACE#METADATA,,,,3,"{""clickpost_partner_id"":""130"",""clickpost_ankw_courier_partner_account_code"":""WeFast ANKW"",""clickpost_partner_account_code"":""WeFast"",""clickpost_partner_name"":""WeFast"",""ankw_account_code"":""WeFast ANKW"",""delivery_partner_name"":""WeFast Delivery""}",true,2026-02-10T23:24:00.017215+05:30,logistics-scripts,false,2026-02-10T23:25:33.705898+05:30,logistics-scripts,WeFast ANKW,,82ab83f6-27cf-4bcf-973a-3e3462a22264,238,72ceb6e9-7393-4787-aa75-f825996c079c,"Feb 14, 2026, 12:38 AM",2,"{""changes"":[],""sync_id"":65785}"
DP#286,COURIER#EXPRESS#METADATA,,,,3,"{""clickpost_partner_id"":""6"",""clickpost_ankw_courier_partner_account_code"":""XpressBees Express ANKW"",""clickpost_partner_account_code"":""XpressBees Express"",""clickpost_partner_name"":""XpressBees"",""ankw_account_code"":""XpressBees Express ANKW"",""delivery_partner_name"":""XpressBees Express Delivery""}",true,2026-02-10T23:24:00.440558+05:30,logistics-scripts,true,2026-02-10T23:25:34.99317+05:30,logistics-scripts,XpressBees Express ANKW,,611b2bf6-688e-466b-a35f-477b3f37ff20,286,cdd411b8-1814-472d-8aed-473338aaf0eb,"Feb 14, 2026, 12:38 AM",2,"{""changes"":[],""sync_id"":65785}"
DP#594,COURIER#SURFACE#METADATA,,,,3,"{""clickpost_partner_id"":""564"",""clickpost_ankw_courier_partner_account_code"":""Urbanebolt ANKW"",""clickpost_partner_account_code"":""Urbane Bolt"",""clickpost_partner_name"":""Urbanebolt ANKW"",""ankw_account_code"":""Urbanebolt ANKW"",""delivery_partner_name"":""Urbane Bolt Delivery""}",true,2026-02-10T23:23:59.984818+05:30,logistics-scripts,false,2026-02-10T23:25:33.614311+05:30,logistics-scripts,Urbanebolt ANKW,,527c87de-7fdc-4d5e-9b12-d81ffdc718e3,594,88bb2c4b-244f-4da9-807e-f4eff114f841,"Feb 14, 2026, 12:38 AM",2,"{""changes"":[],""sync_id"":65785}"
DP#408,COURIER#SURFACE#METADATA,,,,3,"{""clickpost_partner_id"":""3"",""clickpost_ankw_courier_partner_account_code"":""ECOM SURFACE ANKW"",""clickpost_partner_account_code"":""Ecom Surface"",""clickpost_partner_name"":""EcomExpress"",""ankw_account_code"":""ECOM SURFACE ANKW"",""delivery_partner_name"":""Ecom Surface Delivery""}",true,2026-02-10T23:24:00.343591+05:30,logistics-scripts,false,2026-02-10T23:25:34.673763+05:30,logistics-scripts,ECOM SURFACE ANKW,,191c66e5-4f37-410d-ab59-9e62a406c5e5,408,6ce78e51-ce86-47a0-8dae-4c4019271207,"Feb 14, 2026, 12:38 AM",2,"{""changes"":[],""sync_id"":65785}"
DP#476,COURIER#SURFACE#METADATA,,,,3,"{""clickpost_partner_id"":""170"",""clickpost_ankw_courier_partner_account_code"":""Ithink Logistics - ANKW"",""clickpost_partner_account_code"":""Ithink Forward"",""clickpost_partner_name"":""Ithink Logistics"",""ankw_account_code"":""Ithink Logistics - ANKW"",""delivery_partner_name"":""Ithink Forward Delivery""}",true,2026-02-10T23:24:00.542527+05:30,logistics-scripts,false,2026-02-10T23:25:35.28776+05:30,logistics-scripts,Ithink Logistics - ANKW,,2da078e2-7bf5-4da3-bd3d-b7ffd4dc45f7,476,96cb904b-4841-4e10-b5b5-e4a269e54a61,"Feb 14, 2026, 12:38 AM",2,"{""changes"":[],""sync_id"":65785}"
DP#185,COURIER#SURFACE#METADATA,,,,3,"{""clickpost_partner_id"":""6"",""clickpost_ankw_courier_partner_account_code"":""XpressBees Surace ANKW"",""clickpost_reverse_courier_partner_account_code"":""XpressBees Reverse ANKW"",""clickpost_partner_account_code"":""XpressBees"",""clickpost_partner_name"":""XpressBees"",""ankw_account_code"":""XpressBees Surace ANKW"",""delivery_partner_name"":""XpressBees Delivery"",""clickpost_reverse_courier_partner_id"":""41""}",true,2026-02-10T23:24:00.064295+05:30,logistics-scripts,false,2026-02-10T23:25:33.817214+05:30,logistics-scripts,XpressBees Surace ANKW,,e27b35c0-efb3-4ac3-8a7b-313a447d3733,185,8e629e99-c6d8-4211-b56e-231fd0854eaf,"Mar 5, 2026, 3:39 PM",4,"{""changes"":[],""sync_id"":79431}"
DP#239,COURIER#SURFACE#METADATA,,,,3,"{""clickpost_partner_id"":""35"",""clickpost_ankw_courier_partner_account_code"":""Self ANKW"",""clickpost_partner_account_code"":""Self"",""clickpost_partner_name"":""Self"",""ankw_account_code"":""Self ANKW"",""delivery_partner_name"":""Self Delivery""}",true,2026-02-10T23:24:00.201633+05:30,logistics-scripts,false,2026-02-10T23:25:34.232961+05:30,logistics-scripts,Self ANKW,,b4064963-abc2-4734-aa92-1cbe9c33bc46,239,46ef2ebd-b122-49c7-852c-64f11809e524,"Mar 5, 2026, 3:39 PM",4,"{""changes"":[],""sync_id"":79431}"
DP#225,COURIER#EXPRESS#METADATA,,,,3,"{""clickpost_partner_id"":""4"",""clickpost_ankw_courier_partner_account_code"":""Delhivery Express ANKW"",""clickpost_partner_account_code"":""Delhivery Express"",""clickpost_partner_name"":""Delhivery"",""ankw_account_code"":""Delhivery Express ANKW"",""delivery_partner_name"":""Delhivery Express Delivery""}",true,2026-02-10T23:24:00.170936+05:30,logistics-scripts,true,2026-02-10T23:25:34.118105+05:30,logistics-scripts,Delhivery Express ANKW,,0ff57c84-5934-4f90-aba3-584a60cd38e5,225,f8ca41a8-05d7-4ff7-9d04-bac702efd2e3,"Mar 5, 2026, 3:39 PM",4,"{""changes"":[],""sync_id"":79431}"
DP#404,COURIER#SURFACE#METADATA,,,,3,"{""clickpost_partner_id"":""212"",""clickpost_ankw_courier_partner_account_code"":""ATS Surface ANKW"",""clickpost_partner_account_code"":""ATS Surface"",""clickpost_partner_name"":""ATS (Amazon Transportation Services)"",""ankw_account_code"":""ATS Surface ANKW"",""delivery_partner_name"":""ATS Surface Delivery""}",true,2026-02-10T23:24:00.099712+05:30,logistics-scripts,false,2026-02-10T23:25:33.919578+05:30,logistics-scripts,ATS Surface ANKW,,db62f5c9-e6b6-4649-9797-f931bcafc27a,404,2a0ab08d-e7ff-4cbe-bc20-7004da7e3fdf,"Mar 5, 2026, 3:39 PM",4,"{""changes"":[],""sync_id"":79431}"
DP#639,COURIER#EXPRESS#METADATA,,,,2,"{""clickpost_partner_id"":""9"",""clickpost_ankw_courier_partner_account_code"":""Shadowfax Surface"",""clickpost_partner_account_code"":""Shadowfax Surface"",""clickpost_partner_name"":""Shadowfax Surface"",""ankw_account_code"":""Shadowfax Surface"",""delivery_partner_name"":""Shadowfax Surface Delivery""}",true,2026-02-10T23:24:00.376453+05:30,logistics-scripts,true,2026-02-10T23:25:34.800968+05:30,logistics-scripts,Shadowfax Surface,,ba3b1dd2-4014-492e-97bd-4888950cc901,639,7200be29-5f9f-4098-93b3-51f276074ec9,"Mar 5, 2026, 3:39 PM",4,"{""changes"":[],""sync_id"":79431}"
